2025-07-06 15:25:10,846 | INFO | utils.database | Successfully Inserted DataFrame into optionchain
2025-07-06 15:25:11,453 | INFO | utils.database | Successfully Inserted DataFrame into optionchain_snapshots
2025-07-06 15:25:12,034 | INFO | utils.database | Successfully Inserted DataFrame into optionchain
2025-07-06 15:25:12,555 | INFO | utils.database | Successfully Inserted DataFrame into optionchain_snapshots
2025-07-06 15:25:13,340 | INFO | utils.database | Successfully Inserted DataFrame into optionchain
2025-07-06 15:25:13,935 | INFO | utils.database | Successfully Inserted DataFrame into optionchain_snapshots
2025-07-06 15:25:14,562 | INFO | utils.database | Successfully Inserted DataFrame into optionchain
2025-07-06 15:25:15,251 | INFO | utils.database | Successfully Inserted DataFrame into optionchain_snapshots
2025-07-06 15:25:15,902 | INFO | utils.database | Successfully Inserted DataFrame into optionchain
2025-07-06 15:25:16,466 | INFO | utils.database | Successfully Inserted DataFrame into optionchain_snapshots
2025-07-06 15:25:17,097 | INFO | utils.database | Successfully Inserted DataFrame into optionchain
2025-07-06 15:25:17,659 | INFO | utils.database | Successfully Inserted DataFrame into optionchain_snapshots
2025-07-06 15:25:18,373 | INFO | utils.database | Successfully Inserted DataFrame into optionchain
2025-07-06 15:25:18,926 | INFO | utils.database | Successfully Inserted DataFrame into optionchain_snapshots
2025-07-06 15:25:19,483 | INFO | utils.database | Successfully Inserted DataFrame into optionchain
2025-07-06 15:25:20,002 | INFO | utils.database | Successfully Inserted DataFrame into optionchain_snapshots
2025-07-06 15:25:20,743 | INFO | utils.database | Successfully Inserted DataFrame into optionchain
2025-07-06 15:25:21,287 | INFO | utils.database | Successfully Inserted DataFrame into optionchain_snapshots
2025-07-06 15:25:21,918 | INFO | utils.database | Successfully Inserted DataFrame into optionchain
2025-07-06 15:25:22,436 | INFO | utils.database | Successfully Inserted DataFrame into optionchain_snapshots
2025-07-06 15:25:23,146 | INFO | utils.database | Successfully Inserted DataFrame into optionchain
2025-07-06 15:25:23,732 | INFO | utils.database | Successfully Inserted DataFrame into optionchain_snapshots
2025-07-06 15:25:24,369 | INFO | utils.database | Successfully Inserted DataFrame into optionchain
2025-07-06 15:25:25,081 | INFO | utils.database | Successfully Inserted DataFrame into optionchain_snapshots
2025-07-06 15:25:25,710 | INFO | utils.database | Successfully Inserted DataFrame into optionchain
2025-07-06 15:25:26,247 | INFO | utils.database | Successfully Inserted DataFrame into optionchain_snapshots
